N,theta,brute_force_ms,barnes_hut_ms,speedup,avg_rel_error_pct
10,0.5,0,0,0,2.41825e+08
10,1,0,0,0,2.44243e+08
100,0.5,0,1,0,4.17696e+09
100,1,0,0,0,4.18615e+09
500,0.5,0,3,0,1.48217e+10
500,1,0,1,0,1.4802e+10
1000,0.5,0,9,0,2.85822e+10
1000,1,0,2,0,2.85314e+10
5000,0.5,0,75,0,1.3831e+11
5000,1,0,17,0,1.38666e+11
10000,0.5,0,182,0,2.80061e+11
10000,1,0,40,0,2.8049e+11
25000,0.5,0,558,0,6.75191e+11
25000,1,0,120,0,6.76934e+11
50000,0.5,0,1441,0,1.35196e+12
50000,1,0,346,0,1.3558e+12
500000,0.5,4,28391,0.00014089,1.31929e+13
500000,1,4,4710,0.000849257,1.32258e+13
1000000,0.5,6,67745,8.85674e-05,2.63331e+13
1000000,1,6,10803,0.000555401,2.64076e+13
